Unique ID,Title,Career Switcher?,Salary,Industry,Language,Position Satisfaction,Work Life Balance Satisfaction,Coworker Satisfaction,Management Satisfaction,Upward Mobility Satisfaction,Learning Satisfaction,Difficulty Level of Breaking into Data,Most Important Aspect in New Job,Gender,Age,Country,Highest Level of Education,Ethnicity
1,Data Analyst,Yes,106-125,Healthcare,Python,9,9,7,5,5,7,Very Difficult,Remote Work,Male,26,United States,Unanswered / None,White or Caucasian
2,Data Analyst,No,41-65,Finance,R,1,2,5,2,1,3,Very Difficult,Remote Work,Male,36,Canada,Unanswered / None,Asian or Asian American
3,Data Engineer,No,0-40,Other,Python,0,8,7,5,7,7,Easy,Good Work/Life Balance,Male,23,Other,Unanswered / None,Black or African American
4,Other,Yes,150-225,Finance,R,10,6,7,10,7,10,Very Easy,Remote Work,Female,35,Canada,Unanswered / None,White or Caucasian
5,Data Analyst,Yes,41-65,Healthcare,R,1,4,4,4,0,1,Difficult,Better Salary,Male,44,United States,Unanswered / None,Black or African American
6,Data Analyst,Yes,0-40,Other,Python,2,3,3,3,3,2,Difficult,Good Work/Life Balance,Male,33,Other,Unanswered / None,Black or African American
7,Data Scientist,Yes,0-40,Finance,Python,0,6,6,6,6,5,Difficult,Better Salary,Male,24,Other,Unanswered / None,Black or African American
8,Data Engineer,Yes,125-150,Other,SQL,10,5,5,5,5,9,Both,Remote Work,Male,35,United States,Unanswered / None,Asian or Asian American
9,Data Analyst,Yes,86-105,Healthcare,R,4,4,4,4,5,5,Both,Better Salary,Male,35,United States,Unanswered / None,Asian or Asian American
10,Data Analyst,Yes,41-65,Telecommunication,Python,2,0,3,3,0,4,Very Difficult,Better Salary,Male,28,United States,Unanswered / None,Hispanic or Latino
11,Data Analyst,Yes,66-85,Other,Python,10,10,8,8,8,10,Both,Remote Work,Male,37,Canada,Unanswered / None,White or Caucasian
12,Data Analyst,Yes,0-40,Other,Python,3,8,10,10,7,8,Both,Better Salary,Male,32,Other,Unanswered / None,White or Caucasian
13,Data Analyst,Yes,0-40,Tech,R,1,10,9,9,5,10,Both,Better Salary,Male,34,Other,Unanswered / None,White or Caucasian
14,Data Scientist,Yes,0-40,Education,Python,3,10,10,6,7,8,Easy,Good Work/Life Balance,Male,30,United Kingdom,Unanswered / None,White or Caucasian
15,Data Analyst,No,41-65,Construction,R,4,5,5,5,4,5,Both,Good Culture,Male,31,United States,Unanswered / None,White or Caucasian
16,Data Analyst,Yes,41-65,Finance,Python,4,10,7,7,7,5,Difficult,Good Culture,Male,29,United States,Unanswered / None,White or Caucasian
17,Data Analyst,Yes,0-40,Tech,Python,1,2,4,2,2,2,Both,Better Salary,Male,22,Other,Unanswered / None,Black or African American
18,Unemployed / Student,Yes,0-40,Other,Python,1,3,2,2,4,1,Difficult,Better Salary,Male,23,United States,Unanswered / None,Black or African American
19,Unemployed / Student,No,41-65,Tech,R,7,8,8,6,8,3,Very Difficult,Better Salary,Female,26,Canada,Unanswered / None,Asian or Asian American
20,Data Analyst,No,0-40,Other,Python,1,1,1,1,2,0,Very Difficult,Better Salary,Male,28,Other,Unanswered / None,Black or African American
21,Data Analyst,Yes,41-65,Finance,Python,5,5,5,5,5,5,Easy,Remote Work,Male,29,Other,Unanswered / None,Black or African American
22,Data Analyst,Yes,106-125,Tech,SQL,10,5,10,6,10,10,Both,Remote Work,Female,31,United States,Unanswered / None,White or Caucasian
23,Data Analyst,Yes,0-40,Healthcare,Python,5,6,8,8,7,1,Both,Remote Work,Male,28,Other,Unanswered / None,White or Caucasian
24,Data Analyst,No,0-40,Finance,Python,4,4,4,4,4,4,Both,Better Salary,Male,32,Other,Unanswered / None,Hispanic or Latino
25,Data Analyst,No,0-40,Tech,Python,7,8,8,8,3,8,Easy,Better Salary,Male,24,Other,Unanswered / None,Black or African American
26,Data Analyst,No,0-40,Tech,Python,4,6,6,6,7,7,Easy,Good Work/Life Balance,Male,31,India,Unanswered / None,Asian or Asian American
27,Data Analyst,No,66-85,Other,SQL,7,10,5,5,5,2,Difficult,Other,Male,23,United States,Unanswered / None,White or Caucasian
28,Data Analyst,Yes,106-125,Other,Python,1,6,9,1,0,2,Difficult,Remote Work,Female,33,United States,Unanswered / None,Asian or Asian American
29,Data Analyst,No,86-105,Healthcare,Other,6,7,7,7,7,4,Very Easy,Better Salary,Male,43,United States,Unanswered / None,White or Caucasian
30,Unemployed / Student,Yes,0-40,Other,R,0,0,5,0,0,0,Very Difficult,Remote Work,Female,23,Other,Unanswered / None,Black or African American
31,Unemployed / Student,Yes,41-65,Finance,Python,10,7,10,10,5,3,Very Difficult,Good Work/Life Balance,Male,31,United States,Unanswered / None,Black or African American
32,Data Analyst,Yes,66-85,Finance,Python,5,6,7,5,4,4,Both,Other,Male,31,United Kingdom,Unanswered / None,White or Caucasian
33,Data Analyst,Yes,0-40,Other,Python,8,7,8,7,7,7,Difficult,Good Work/Life Balance,Male,25,India,Unanswered / None,Asian or Asian American
34,Data Engineer,No,125-150,Tech,SQL,8,10,10,9,9,9,Easy,Better Salary,Male,43,United States,Unanswered / None,White or Caucasian
35,Data Analyst,No,41-65,Finance,Python,2,3,5,5,5,5,Difficult,Better Salary,Female,26,Canada,Unanswered / None,Asian or Asian American
36,Other,No,41-65,Other,Python,5,10,8,8,8,7,Both,Remote Work,Male,32,Other,Unanswered / None,White or Caucasian
37,Other,No,0-40,Tech,Python,2,9,7,7,5,6,Difficult,Better Salary,Male,31,Other,Unanswered / None,White or Caucasian
38,Data Analyst,Yes,86-105,Healthcare,SQL,3,5,6,4,4,5,Both,Better Salary,Male,29,United States,Unanswered / None,White or Caucasian
39,Data Analyst,Yes,0-40,Other,Python,3,1,3,2,3,1,Both,Good Culture,Male,24,Other,Unanswered / None,Hispanic or Latino
40,Unemployed / Student,Yes,41-65,Construction,Python,2,0,2,2,0,0,Very Difficult,Remote Work,Male,34,United States,Unanswered / None,White or Caucasian
41,Data Analyst,Yes,41-65,Other,Other,5,6,6,5,4,6,Very Difficult,Better Salary,Male,42,Other,Unanswered / None,Asian or Asian American
42,Unemployed / Student,Yes,0-40,Other,JavaScript,0,0,0,0,0,0,Difficult,Remote Work,Female,40,United States,Unanswered / None,Asian or Asian American
43,Unemployed / Student,No,41-65,Telecommunication,Python,3,1,3,4,0,3,Easy,Good Work/Life Balance,Male,43,Other,Unanswered / None,White or Caucasian
44,Unemployed / Student,Yes,0-40,Construction,Python,0,0,0,0,0,0,Very Difficult,Better Salary,Male,23,Other,Unanswered / None,Black or African American
45,Unemployed / Student,Yes,0-40,Education,Python,5,5,3,5,2,6,Difficult,Better Salary,Male,23,Other,Unanswered / None,Asian or Asian American
